,P7,O1,O2,P8,TIME
2309,4596.923,3963.077,3874.872,4303.077,1606508972.4934
2310,4594.359,3961.026,3884.103,4308.718,1606508972.5012
2311,4608.718,3970.256,3885.641,4315.897,1606508972.5092
2312,4618.462,3969.744,3878.974,4312.308,1606508972.517
2313,4609.231,3963.077,3875.385,4307.179,1606508972.5249
2314,4602.051,3963.59,3875.897,4307.692,1606508972.5327
2315,4602.051,3964.615,3876.923,4307.179,1606508972.5406
2316,4597.949,3961.026,3877.436,4305.128,1606508972.5485
2317,4601.538,3965.128,3882.564,4312.821,1606508972.5564
2318,4606.154,3970.256,3885.128,4315.385,1606508972.5642
2319,4598.462,3964.103,3880.513,4303.59,1606508972.5719
2320,4597.436,3963.077,3878.974,4301.538,1606508972.5797
2321,4612.308,3974.359,3885.128,4314.359,1606508972.5875
2322,4613.846,3969.744,3883.59,4316.923,1606508972.5953
2323,4597.949,3953.846,3870.769,4308.205,1606508972.603
2324,4596.41,3955.385,3865.128,4302.051,1606508972.6108
2325,4610.256,3968.205,3873.333,4302.564,1606508972.6185
2326,4618.462,3972.308,3882.051,4312.821,1606508972.6264
2327,4613.846,3971.282,3884.615,4317.949,1606508972.6341
2328,4604.615,3969.231,3877.436,4303.077,1606508972.6419
2329,4596.41,3960.0,3872.308,4298.462,1606508972.6496
2330,4600.0,3954.359,3880.0,4318.462,1606508972.6575
2331,4608.718,3958.462,3880.0,4321.026,1606508972.6654
2332,4608.718,3962.564,3869.744,4303.077,1606508972.6733
2333,4601.026,3958.462,3869.231,4300.513,1606508972.6811
2334,4595.385,3960.513,3870.769,4303.077,1606508972.689
2335,4595.385,3966.667,3864.615,4294.359,1606508972.6968
2336,4607.179,3965.128,3872.821,4300.513,1606508972.7048
2337,4617.949,3964.615,3885.128,4318.974,1606508972.7126
2338,4605.641,3964.615,3877.436,4313.333,1606508972.7205
2339,4590.256,3958.462,3869.744,4298.974,1606508972.7283
2340,4599.487,3956.923,3874.872,4306.667,1606508972.7362
2341,4605.128,3962.564,3881.538,4314.359,1606508972.7441
2342,4597.436,3968.718,3885.641,4310.256,1606508972.7518
2343,4608.205,3976.41,3884.103,4316.923,1606508972.7596
2344,4625.128,3976.923,3875.897,4326.667,1606508972.7673
2345,4616.923,3963.077,3872.308,4316.41,1606508972.7751
2346,4609.231,3960.0,3875.897,4308.718,1606508972.7829
2347,4613.846,3971.282,3876.41,4317.949,1606508972.7907
2348,4603.077,3966.154,3873.333,4318.462,1606508972.7984
2349,4590.256,3958.462,3871.795,4309.744,1606508972.8062
2350,4594.872,3965.128,3870.256,4301.538,1606508972.8139
2351,4603.59,3971.282,3874.359,4302.564,1606508972.8218
2352,4601.538,3960.0,3877.436,4305.641,1606508972.8295
2353,4599.487,3952.821,3869.231,4306.667,1606508972.8374
2354,4605.641,3960.0,3867.179,4310.256,1606508972.8452
2355,4609.744,3958.974,3876.923,4314.872,1606508972.8531
2356,4606.667,3954.359,3878.462,4313.333,1606508972.861
2357,4603.59,3961.538,3875.897,4307.692,1606508972.8689
2358,4606.154,3969.744,3880.0,4305.128,1606508972.8767
2359,4612.308,3971.795,3883.59,4310.769,1606508972.8846
2360,4618.462,3976.923,3888.718,4326.667,1606508972.8924
2361,4615.897,3978.462,3891.282,4330.769,1606508972.9004
2362,4611.282,3973.333,3886.154,4318.462,1606508972.9082
2363,4615.385,3971.795,3884.103,4317.949,1606508972.9161
2364,4616.41,3969.744,3889.231,4327.179,1606508972.9239
2365,4606.154,3971.282,3888.205,4324.103,1606508972.9316
2366,4608.205,3980.513,3883.59,4317.949,1606508972.9395
2367,4625.128,3978.462,3882.564,4323.077,1606508972.9472
2368,4624.615,3966.154,3883.077,4329.231,1606508972.955
2369,4599.487,3959.487,3881.538,4319.487,1606508972.9627
2370,4595.385,3961.026,3876.923,4308.718,1606508972.9705
2371,4616.41,3967.692,3875.385,4315.897,1606508972.9783
2372,4624.103,3974.359,3880.0,4323.077,1606508972.9861
2373,4617.949,3976.41,3878.974,4318.462,1606508972.9938
2374,4614.359,3971.795,3875.897,4317.949,1606508973.0016
2375,4610.769,3966.667,3876.923,4318.974,1606508973.0093
2376,4612.308,3968.718,3875.897,4317.949,1606508973.0173
2377,4620.0,3973.846,3874.359,4318.974,1606508973.0251
2378,4620.0,3974.359,3880.0,4317.949,1606508973.033
2379,4612.821,3973.846,3880.0,4313.846,1606508973.0408
2380,4610.256,3972.821,3877.949,4314.872,1606508973.0487
2381,4613.846,3970.769,3884.615,4324.103,1606508973.0566
2382,4614.359,3971.795,3885.128,4326.667,1606508973.0645
2383,4613.333,3975.385,3879.487,4320.513,1606508973.0723
2384,4617.436,3978.974,3881.026,4317.436,1606508973.0802
2385,4621.538,3978.462,3880.0,4323.077,1606508973.088
2386,4622.564,3974.359,3876.41,4328.205,1606508973.096
2387,4617.436,3974.872,3874.872,4321.538,1606508973.1038
2388,4605.641,3974.359,3866.154,4304.615,1606508973.1115
2389,4606.667,3972.308,3863.59,4299.487,1606508973.1193
2390,4622.564,3978.462,3875.897,4315.385,1606508973.127
2391,4619.487,3980.0,3883.077,4327.179,1606508973.1349
2392,4601.538,3967.692,3879.487,4321.538,1606508973.1426
