,P7,O1,O2,P8,TIME
447,4615.897,3970.769,3892.821,4315.897,1606508915.7694
448,4609.744,3977.949,3889.231,4315.385,1606508915.7774
449,4616.923,3985.641,3893.333,4324.103,1606508915.7852
450,4622.564,3980.0,3898.462,4331.795,1606508915.7931
451,4617.949,3981.026,3897.436,4330.256,1606508915.8009
452,4607.179,3983.59,3886.667,4313.846,1606508915.8088
453,4600.0,3973.846,3880.0,4302.564,1606508915.8167
454,4610.256,3970.769,3886.667,4310.769,1606508915.8246
455,4627.179,3981.538,3891.795,4317.436,1606508915.8324
456,4624.103,3986.154,3889.744,4313.333,1606508915.8403
457,4603.077,3973.846,3881.538,4303.59,1606508915.8481
458,4595.385,3960.513,3875.385,4295.897,1606508915.856
459,4603.077,3966.154,3878.974,4300.0,1606508915.8638
460,4609.231,3984.103,3887.692,4304.103,1606508915.8715
